iPhone11;Apple;4;128;6.06;194;599;12
iPhone12;Apple;4;256;6.1;215;799;12
Galaxy S20;Samsung;6;128;6.2;163;699;64
OnePlus 8;OnePlus;8;256;6.55;180;699;48
Pixel 5;Google;8;128;6.0;151;699;12
Xperia 1 II;Sony;8;256;6.5;181;1099;12+12+12+12+12
Redmi Note 9;Xiaomi;4;64;6.53;199;229;48+8+2+2
Mate 30 Pro;Huawei;8;256;6.53;198;1099;40+40+8
LG Velvet;LG;6;128;6.8;180;699;48+8+5
Mi 10;Xiaomi;8;256;6.67;208;799;108+13+2+2
Galaxy A51;Samsung;6;128;6.5;172;349;48+12+5+5
Motorola Edge;Motorola;6;256;6.7;188;699;64+16+8
Nokia 9 PureView;Nokia;6;128;5.99;172;699;12+12+12+12+12
